sicha_id,chelek_number,parasha,sicha_number,title,search_page_url,library_page_url,kehos_original_found,kehos_lahak_found,result,error
1,10,בראשית,1,חלק י • בראשית • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-breishis-sicha-1/,https://projectlikkuteisichos.org/10breishis1/,https://drive.google.com/file/d/1aqfV8v41CQrFNBl_10L4P5V7mz-MElsS/view?usp=sharing,,original_found,
2,10,בראשית,2,חלק י • בראשית • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-breishis-sicha-2/,https://projectlikkuteisichos.org/10breishis2/,https://drive.google.com/file/d/1-AYTp0QhFoy-xgEf47NDzFCrNev6KTK5/view?usp=sharing,,original_found,
8,10,לך לך,1,חלק י • לך לך • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%9c%d7%9a-%d7%9c%d7%9a-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-lechlecha-sicha-1/,https://projectlikkuteisichos.org/10lech-lecha1/,https://drive.google.com/file/d/1OPYJtZc0PKKj_AM55LYTSI8TRZl0XLsi/view?usp=sharing,,original_found,
20,10,וישלח,2,חלק י • וישלח • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%95%d7%99%d7%a9%d7%9c%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-vayishlach-sicha-2/,,,,not_listed_or_unmatched,
38,12,בחוקותי,2,חלק יב • בחוקותי • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-12-bechukosai-sicha-2/,https://projectlikkuteisichos.org/12bechukosai2/,,,no_original_on_library_page,
39,12,בהר,1,חלק יב • בהר • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90/,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%e2%80%a2-%d7%91%d7%94%d7%a8-%e2%80%a2-%d7%a9%d7%99%d7%97%d7%94-%d7%90/,,,no_original_on_library_page,
40,12,בהר,1,חלק יב • בהר • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-12-behar-sicha-2/,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%e2%80%a2-%d7%91%d7%94%d7%a8-%e2%80%a2-%d7%a9%d7%99%d7%97%d7%94-%d7%90/,,,no_original_on_library_page,
41,12,בהר,2,חלק יב • בהר • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-12-behar-sicha-2/,https://projectlikkuteisichos.org/12behar2/,,,no_original_on_library_page,
46,13,במדבר,1,חלק יג • במדבר • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%92-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-13-bamidbar-sicha-1/,https://projectlikkuteisichos.org/13bamidbar1/,,,no_original_on_library_page,
84,15,בראשית,1,חלק טו • בראשית • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-breishis-sicha-1/,https://projectlikkuteisichos.org/15breishis1/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/XRi31B25TqGYTW7sdZIH%2Fpdf%2F6b6485f0-1d72-11ec-ac67-ddbc52a4f098?alt=media&token=95d4538d-dc75-49f8-92e4-9131c61e1243,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/XRi31B25TqGYTW7sdZIH%2Fpdf%2F7fd02f30-1d72-11ec-ae60-cf455b6336c9?alt=media&token=6ce97c6f-84b5-45c2-81c4-15b353b3c588,original_found,
85,15,בראשית,2,חלק טו • בראשית • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-breishis-sicha-2/,https://projectlikkuteisichos.org/15breishis2/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/Zyqya5OW9OJj3sqLwY0u%2Fpdf%2Fb1a33330-1d73-11ec-a91b-919004a56689?alt=media&token=5cec46ed-e85c-4b8d-a4f2-c232e6d16299,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/Zyqya5OW9OJj3sqLwY0u%2Fpdf%2Fc08ea0a0-1d73-11ec-aa25-5538e27f3f17?alt=media&token=0eb36cf0-5f13-434d-b7cf-5c5316ba6bc4,original_found,
89,15,נח,1,חלק טו • נח • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%a0%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-noach-sicha-1/,https://projectlikkuteisichos.org/15noach1/,https://drive.google.com/file/d/1ad2Dnlv52r7ZzVPP4b74PBr9-PngvJBw/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/SUQcZ7HOKAqILRwXe1pM%2Fpdf%2F9d6f3850-22f0-11ec-bb79-ebb1bebfb862?alt=media&token=638bc6f6-e062-48c0-9bc1-07cd9c147683,original_found,
91,15,נח,2,חלק טו • נח • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%a0%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-noach-sicha-2/,https://projectlikkuteisichos.org/15noach2/,https://drive.google.com/file/d/1AE2vJjl6T5527zk4lUa9PjGa70ofj9cm/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/KyqNRDN5yETHwE3d1p5Y%2Fpdf%2F357efc20-22f1-11ec-b9db-25bd2fc87dc8?alt=media&token=dbaec89a-bef8-4d57-96bd-a6c28a6a86ed,original_found,
95,15,לך לך,,חלק טו • לך לך,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%9c%d7%9a-%d7%9c%d7%9a-chelek-15-lech-lecha/,,,,not_listed_or_unmatched,
103,15,מקץ,1,חלק טו • מקץ • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%9e%d7%a7%d7%a5-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-miketz-sicha-1/,https://projectlikkuteisichos.org/15miketz1/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/ukJtE8hR7OuTYcIBPNkx%2Fpdf%2Fa411aad0-4ed3-11ec-b9b4-a3c927f01f8a?alt=media&token=c9a9d2b1-7bfd-44fb-9998-c57292f6c103,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/ukJtE8hR7OuTYcIBPNkx%2Fpdf%2F942c7410-4ed3-11ec-9df8-af63599b4cd0?alt=media&token=137b1050-37c2-4afc-bad0-30fc0de9281c,original_found,
