sicha_id,chelek_number,parasha,sicha_number,title,search_page_url,library_page_url,kehos_original_found,kehos_lahak_found,result,error
1,10,בראשית,1,חלק י • בראשית • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-breishis-sicha-1/,https://projectlikkuteisichos.org/10breishis1/,,,no_original_on_library_page,
2,10,בראשית,2,חלק י • בראשית • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-breishis-sicha-2/,https://projectlikkuteisichos.org/10breishis2/,,,no_original_on_library_page,
3,10,בראשית,3,חלק י • בראשית • שיחה ג,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-10-breishis-sicha-3/,https://projectlikkuteisichos.org/10breishis3/,,,no_original_on_library_page,
4,10,נח,1,חלק י • נח • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%a0%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-noach-sicha-1/,https://projectlikkuteisichos.org/10noach1/,,,no_original_on_library_page,
5,10,נח,2,חלק י • נח • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%a0%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-noach-sicha-2/,https://projectlikkuteisichos.org/10noach2/,,,no_original_on_library_page,
6,10,נח,3,חלק י • נח • שיחה ג,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%a0%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-10-noach-sicha-3/,https://projectlikkuteisichos.org/10noach3/,,,no_original_on_library_page,
7,10,לך לך,1,חלק י • לך לך • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%9c%d7%9a-%d7%9c%d7%9a-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-lech-lecha-sicha-1/,https://projectlikkuteisichos.org/10lech-lecha1/,,,no_original_on_library_page,
8,10,לך לך,1,חלק י • לך לך • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%9c%d7%9a-%d7%9c%d7%9a-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-lechlecha-sicha-1/,https://projectlikkuteisichos.org/10lech-lecha1/,,,no_original_on_library_page,
9,10,לך לך,2,חלק י • לך לך • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%9c%d7%9a-%d7%9c%d7%9a-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-lech-lecha-sicha-2/,https://projectlikkuteisichos.org/10lech-lecha2/,,,no_original_on_library_page,
10,10,וירא,1,חלק י • וירא • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%95%d7%99%d7%a8%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-10-vayera-sicha-1/,https://projectlikkuteisichos.org/10vayera1/,,,no_original_on_library_page,
