sicha_id,chelek_number,parasha,sicha_number,sicha_label,title,url,kehos_original,kehos_lahak,scrape_error
20,10,"וישלח",2,"שיחה ב","חלק י • וישלח • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99-%d7%95%d7%99%d7%a9%d7%9c%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-10-vayishlach-sicha-2/,,,
39,12,"בהר",1,"שיחה א","חלק יב • בהר • שיחה א",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90/,,,
40,12,"בהר",1,"שיחה א","חלק יב • בהר • שיחה א",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-12-behar-sicha-2/,,,
41,12,"בהר",2,"שיחה ב","חלק יב • בהר • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%94%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-12-behar-sicha-2/,,,
38,12,"בחוקותי",2,"שיחה ב","חלק יב • בחוקותי • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%91-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-12-bechukosai-sicha-2/,,,
46,13,"במדבר",1,"שיחה א","חלק יג • במדבר • שיחה א",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%92-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-13-bamidbar-sicha-1/,,,
110,15,"חיי שרה",,,"חלק טו • חיי שרה",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%97%d7%99%d7%99-%d7%a9%d7%a8%d7%94-chelek-15-chaye-sara/,,,
95,15,"לך לך",,,"חלק טו • לך לך",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%9c%d7%9a-%d7%9c%d7%9a-chelek-15-lech-lecha/,,,
167,16,"בא",3,"שיחה ג","חלק טז • בא • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-16-bo-sicha-3/,,,
168,16,"בא",4,"שיחה ד","חלק טז • בא • שיחה ד",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%93-chelek-16-bo-sicha-4/,,,
169,16,"בא - י שבט",,,"חלק טז • בא - י שבט",https://projectlikkuteisichos.org/16boyudshvat/,,,
171,16,"בשלח",1,"שיחה א","חלק טז • בשלח • שיחה א",https://projectlikkuteisichos.org/16beshalach1/,,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/fKjjVhvBZnuGeIGFU4Jr%2Fpdf%2F87f4e300-5cd3-11eb-8b4a-c1b057ee5d53?alt=media&token=404c7dc5-e257-45c2-bf74-c8bee65061d4https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/fKjjVhvBZnuGeIGFU4Jr%2Fpdf%2F87f4e300-5cd3-11eb-8b4a-c1b057ee5d53?alt=media&token=404c7dc5-e257-45c2-bf74-c8bee65061d4,
173,16,"בשלח",3,"שיחה ג","חלק טז • בשלח • שיחה ג",https://projectlikkuteisichos.org/16beshalach3/,,,
209,16,"ויקהל-פקודי",,,"חלק טז • ויקהל-פקודי",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%95%d7%99%d7%a7%d7%94%d7%9c-%d7%a4%d7%a7%d7%95%d7%93%d7%99-chelek-16-vayakhel-pekudei/,,,
170,16,"י שבט",,,"חלק טז • י שבט",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%99-%d7%a9%d7%91%d7%98-chelek-16-yud-shvat/,,,
175,16,"יתרו",1,"שיחה א","חלק טז • יתרו • שיחה א",https://projectlikkuteisichos.org/16yisro1/,,,
176,16,"יתרו",2,"שיחה ב","חלק טז • יתרו • שיחה ב",https://projectlikkuteisichos.org/16yisro2/,,,
177,16,"יתרו",3,"שיחה ג","חלק טז • יתרו • שיחה ג",https://projectlikkuteisichos.org/16yisro3/,,,
195,16,"פורים",3,"שיחה ג","חלק טז • פורים • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-16-purim-sicha-3/,,,
203,16,"פקודי",1,"שיחה א","חלק טז • פקודי • שיחה א",https://projectlikkuteisichos.org/16pekudei1/,,,
204,16,"פקודי",1,"שיחה א","חלק טז • פקודי • שיחה א",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%a7%d7%95%d7%93%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-16-pekudei-sicha-1/,,,
205,16,"פקודי",2,"שיחה ב","חלק טז • פקודי • שיחה ב",https://projectlikkuteisichos.org/16pekudei2/,,,
206,16,"פקודי",2,"שיחה ב","חלק טז • פקודי • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%a7%d7%95%d7%93%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-16-pekudei-sicha-2/,,,
152,16,"שמות",1,"שיחה א","חלק טז • שמות • שיחה א",https://projectlikkuteisichos.org/16shemos1/,,,
